country,countryLabel,ethnicGroup,ethnicGroupLabel,genderCategory,count
http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q133032,Hungarians,Male,1
http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q170217,Czechs,Female,1
http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q313323,Volksdeutsche,Male,1
http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q324216,Austrian Americans,Male,1
http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q394067,European people,Male,1
http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q672394,Turks in Austria,Female,1
http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q701314,Burgenland Croats,Female,1
http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q1014854,Romani people in Burgenland,Female,1
http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q1760969,Lovari,Female,1
http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q3003133,Croatian Americans,Male,1
http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q7129609,Caucasian race,Male,1
http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q7362473,Romani people in Austria,Male,1
http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q16112212,Croats in Austria,Unknown / not stated,1
http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q63075063,Ukrainian Jews,Male,1
http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q100510227,Cambodians,Female,1
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q79797,Armenians,Male,214
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q482942,Azerbaijanis,Male,63
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q101452272,Azerbaijanis,Unknown / not stated,33
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q79797,Armenians,Female,24
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q101452272,Azerbaijanis,Male,19
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q482942,Azerbaijanis,Unknown / not stated,18
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q101452272,Azerbaijanis,Female,11
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q482942,Azerbaijanis,Female,9
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q79797,Armenians,Unknown / not stated,9
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q7325,Jewish people,Male,5
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q10290517,Talysh people,Male,2
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q10290517,Talysh people,Unknown / not stated,2
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q227,Azerbaijan,Female,1
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q1129737,Lezgins,Male,1
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q2356912,Azerbaijanis in Ukraine,Male,1
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q628490,Mountain Jews,Male,1
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q539051,Greeks,Female,1
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q1129737,Lezgins,Unknown / not stated,1
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q2426677,Iranian Azerbaijanis,Male,1
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q49542,Russians,Male,1
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q44806,Ukrainians,Female,1
http://www.wikidata.org/entity/Q398,Bahrain,http://www.wikidata.org/entity/Q4115738,Persians in Bahrain,Male,1
http://www.wikidata.org/entity/Q398,Bahrain,http://www.wikidata.org/entity/Q4783159,Arab Canadians,Female,1
http://www.wikidata.org/entity/Q398,Bahrain,http://www.wikidata.org/entity/Q35323,Arabs,Male,1
http://www.wikidata.org/entity/Q398,Bahrain,http://www.wikidata.org/entity/Q7125803,Pakistani Americans,Female,1
http://www.wikidata.org/entity/Q902,Bangladesh,http://www.wikidata.org/entity/Q402913,Bengali,Unknown / not stated,8
http://www.wikidata.org/entity/Q902,Bangladesh,http://www.wikidata.org/entity/Q402913,Bengali,Male,3
http://www.wikidata.org/entity/Q902,Bangladesh,http://www.wikidata.org/entity/Q4855428,Bangladeshis,Male,3
http://www.wikidata.org/entity/Q902,Bangladesh,http://www.wikidata.org/entity/Q4855425,Bangladeshi Americans,Male,2
http://www.wikidata.org/entity/Q902,Bangladesh,http://www.wikidata.org/entity/Q862086,Indians,Male,1
http://www.wikidata.org/entity/Q902,Bangladesh,http://www.wikidata.org/entity/Q4855428,Bangladeshis,Female,1
http://www.wikidata.org/entity/Q902,Bangladesh,http://www.wikidata.org/entity/Q402913,Bengali,Female,1
http://www.wikidata.org/entity/Q902,Bangladesh,http://www.wikidata.org/entity/Q1059355,Chakma people,Unknown / not stated,1
http://www.wikidata.org/entity/Q244,Barbados,http://www.wikidata.org/entity/Q49085,African Americans,Male,2
http://www.wikidata.org/entity/Q244,Barbados,http://www.wikidata.org/entity/Q49085,African Americans,Female,1
http://www.wikidata.org/entity/Q244,Barbados,http://www.wikidata.org/entity/Q4858580,Barbadians,Male,1
http://www.wikidata.org/entity/Q244,Barbados,http://www.wikidata.org/entity/Q2050339,Afro Caribbeans,Female,1
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q483569,Belarusians,Male,55
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q7325,Jewish people,Male,11
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q49542,Russians,Male,8
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q483569,Belarusians,Female,8
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q836076,Lipka Tatars,Male,7
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q32360797,Russian Jews,Male,4
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q483569,Belarusians,Unknown / not stated,3
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q1026,Poles,Male,2
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q4400579,Russians in Belarus,Male,1
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q235155,white people,Male,1
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q2500871,Belarusian minority in Poland,Unknown / not stated,1
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q3918996,Belarusian Americans,Unknown / not stated,1
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q34069,Ashkenazi Jews,Male,1
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q482942,Azerbaijanis,Female,1
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q8060,Romani people,Male,1
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q44806,Ukrainians,Male,1
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q49542,Russians,Female,1
http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q1377716,Belgians,Male,50
http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q7325,Jewish people,Male,3
http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q121842,French,Male,2
http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q100385760,Belgian Jews,Female,2
http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q7325,Jewish people,Female,1
http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q42406,English people,Female,1
http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q79797,Armenians,Male,1
http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q242485,Flemish people,Male,1
http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q381151,Walloon people,Female,1
http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q394067,European people,Male,1
http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q752526,Galicians,Female,1
http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q752526,Galicians,Male,1
http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q1075929,African people,Female,1
http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q1200528,Malaysian Chinese,Female,1
http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q2330715,Mediterranean race,Female,1
http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q2894388,Belgian Americans,Male,1
http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q13635519,Greeks in Belgium,Female,1
http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q16960413,Afro-Belgians,Male,1
http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q28222011,Moroccan Belgians,Female,1
http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q100385760,Belgian Jews,Male,1
http://www.wikidata.org/entity/Q242,Belize,http://www.wikidata.org/entity/Q863927,Garifuna,Male,3
http://www.wikidata.org/entity/Q242,Belize,http://www.wikidata.org/entity/Q4882997,Belizean Creole people,Female,2
http://www.wikidata.org/entity/Q242,Belize,http://www.wikidata.org/entity/Q49085,African Americans,Male,1
http://www.wikidata.org/entity/Q962,Benin,http://www.wikidata.org/entity/Q109704308,Pedah: hommes de l'eau,Female,1
http://www.wikidata.org/entity/Q962,Benin,http://www.wikidata.org/entity/Q12257903,Fon people,Male,1
http://www.wikidata.org/entity/Q962,Benin,http://www.wikidata.org/entity/Q115842165,Afro-Catalan,Female,1
http://www.wikidata.org/entity/Q962,Benin,http://www.wikidata.org/entity/Q190168,Yoruba people,Female,1
http://www.wikidata.org/entity/Q962,Benin,http://www.wikidata.org/entity/Q21075296,Saxwe,Female,1
http://www.wikidata.org/entity/Q962,Benin,http://www.wikidata.org/entity/Q817393,Black people,Female,1
http://www.wikidata.org/entity/Q962,Benin,http://www.wikidata.org/entity/Q817393,Black people,Male,1
http://www.wikidata.org/entity/Q750,Bolivia,http://www.wikidata.org/entity/Q109402,Aymara,Female,8
http://www.wikidata.org/entity/Q750,Bolivia,http://www.wikidata.org/entity/Q2826241,Afro-Bolivians,Female,4
http://www.wikidata.org/entity/Q750,Bolivia,http://www.wikidata.org/entity/Q134936,Quechua people,Female,3
http://www.wikidata.org/entity/Q750,Bolivia,http://www.wikidata.org/entity/Q109402,Aymara,Male,3
http://www.wikidata.org/entity/Q750,Bolivia,http://www.wikidata.org/entity/Q2995285,White Brazilians,Male,3
http://www.wikidata.org/entity/Q750,Bolivia,http://www.wikidata.org/entity/Q4357542,Bolivians,Male,1
http://www.wikidata.org/entity/Q750,Bolivia,http://www.wikidata.org/entity/Q134936,Quechua people,Male,1
http://www.wikidata.org/entity/Q750,Bolivia,http://www.wikidata.org/entity/Q11685635,Bolivian Americans,Male,1
http://www.wikidata.org/entity/Q750,Bolivia,http://www.wikidata.org/entity/Q124216,Swiss,Female,1
http://www.wikidata.org/entity/Q750,Bolivia,http://www.wikidata.org/entity/Q1130350,Minangkabau,Male,1
http://www.wikidata.org/entity/Q750,Bolivia,http://www.wikidata.org/entity/Q6158127,Japanese Bolivians,Female,1
http://www.wikidata.org/entity/Q750,Bolivia,http://www.wikidata.org/entity/Q1142249,Urus,Female,1
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q1064662,Serbs of Bosnia and Herzegovina,Unknown / not stated,24
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q127885,Serbs,Unknown / not stated,11
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q1431089,Croats of Bosnia and Herzegovina,Male,11
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q1431089,Croats of Bosnia and Herzegovina,Unknown / not stated,10
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q167420,Croats,Male,9
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q165235,Bosnians,Unknown / not stated,2
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q1064662,Serbs of Bosnia and Herzegovina,Female,2
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q940348,Bosniaks,Female,2
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q165235,Bosnians,Male,2
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q940348,Bosniaks,Male,2
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q127885,Serbs,Male,2
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q42884,Germans,Male,1
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q5619893,Gurbeti,Female,1
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q7325,Jewish people,Male,1
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q127885,Serbs,Female,1
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q167420,Croats,Female,1
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q7325,Jewish people,Female,1
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q102251,Sephardi Jews,Female,1
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q1431089,Croats of Bosnia and Herzegovina,Female,1
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q1026,Poles,Male,1
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q940348,Bosniaks,Unknown / not stated,1
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q1064662,Serbs of Bosnia and Herzegovina,Male,1
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q1280677,Serbs of Croatia,Male,1
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q1564992,Serbs of Montenegro,Unknown / not stated,1
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q3026394,Serbian Canadians,Unknown / not stated,1
http://www.wikidata.org/entity/Q963,Botswana,http://www.wikidata.org/entity/Q172365,San people,Female,3
http://www.wikidata.org/entity/Q963,Botswana,http://www.wikidata.org/entity/Q459387,Khoisan,Female,2
http://www.wikidata.org/entity/Q963,Botswana,http://www.wikidata.org/entity/Q173371,Bantu people,Male,1
http://www.wikidata.org/entity/Q963,Botswana,http://www.wikidata.org/entity/Q4850731,Balete people,Female,1
http://www.wikidata.org/entity/Q963,Botswana,http://www.wikidata.org/entity/Q16882745,Mbukushu,Female,1
http://www.wikidata.org/entity/Q963,Botswana,http://www.wikidata.org/entity/Q62414349,Birwa,Male,1
http://www.wikidata.org/entity/Q963,Botswana,http://www.wikidata.org/entity/Q33672,Kalanga,Female,1
http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q2995285,White Brazilians,Male,2286
http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q2587830,Pardo Brazilians,Male,1307
http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q2995285,White Brazilians,Female,380
http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q388315,African Brazilians,Male,342
http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q388315,African Brazilians,Female,189
http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q2587830,Pardo Brazilians,Female,153
http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q817393,Black people,Male,54
http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q817393,Black people,Female,52
http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q1065371,Italian Brazilians,Male,19
http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q1065371,Italian Brazilians,Female,10
http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q1024920,Caboclo,Female,9
http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q1144461,Japanese Brazilians,Male,9
http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q3624751,Asian Brazilians,Male,8
http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q49085,African Americans,Male,7
